name,player_id,role,org,tags,why,notes,created_at
Bobby Witt Jr.,677951,Infielder,Royals,Royals;MVP watch;core,Franchise star. Track whether expected contact says another MVP-level jump is coming.,,2026-04-26
Cole Ragans,666142,Pitcher,Royals,Royals;ace;arsenal,Modern ace profile with bat-missing stuff. Watch fastball/changeup shape and command.,,2026-04-26
Vinnie Pasquantino,686469,Infielder,Royals,Royals;OBP;contact quality,Good player for learning how OBP and contact quality can beat traditional RBI/AVG reads.,,2026-04-26
Jac Caglianone,695506,Outfielder,Royals,Royals;prospect;power,Loud power. Watch swing decisions and damage on contact.,,2026-04-26
Carter Jensen,695600,Catcher,Royals,Royals;prospect;catcher,Catcher offense changes roster math fast.,,2026-04-26
Yordan Alvarez,670541,Outfielder,Astros,star;power;xwOBA,One of the cleanest modern examples of elite contact quality and damage.,,2026-04-26
Aaron Judge,592450,Outfielder,Yankees,star;power;MVP watch,The baseline for current superstar offensive force.,,2026-04-26
Paul Skenes,694973,Pitcher,Pirates,star;ace;arsenal,The modern power ace template.,,2026-04-26
Elly De La Cruz,682829,Infielder,Reds,star;speed;power,"Chaos player in the best way: speed, power, strikeouts, highlights.",,2026-04-26
James Wood,695578,Outfielder,Nationals,young star;power;watch,Young impact bat with the kind of physical tools worth tracking early.,,2026-04-26
Konnor Griffin,,Prospect,Pirates,prospect;top 100,Top prospect name to keep in the mental map.,,2026-04-26
Kevin McGonigle,,Prospect,Tigers,prospect;AL Central,AL Central prospect threat with elite hit-tool buzz.,,2026-04-26
